accession	scaffold_count	gc_count	longest_scaffold	gc_percentage	total_gap_length	genome_size	n50_contigs	n50_scaffolds	l50_scaffolds	contig_count	ambiguous_bases	longest_contig	l50_contigs	mean_scaffold_length	mean_contig_length	trna_aa_count	trna_selenocysteine_count	trna_count	checkm_completeness	checkm_contamination	protein_count	coding_bases	coding_density	ssu_count	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	lsu_5s_count	ncbi_taxonomy	gtdb_genome_representative	gtdb_representative	ncbi_taxonomy_unfiltered	ncbi_type_material	ncbi_biosample	ncbi_total_gap_length	ncbi_molecule_count	ncbi_date	ncbi_submitter	ncbi_ncrna_count	ncbi_scaffold_n50	ncbi_assembly_name	ncbi_scaffold_n75	ncbi_protein_count	ncbi_assembly_type	ncbi_rrna_count	ncbi_genbank_assembly_accession	ncbi_total_length	ncbi_unspanned_gaps	ncbi_taxid	ncbi_trna_count	ncbi_genome_representation	ncbi_spanned_gaps	ncbi_translation_table	ncbi_scaffold_n90	ncbi_contig_count	ncbi_organism_name	ncbi_contig_n50	ncbi_ungapped_length	ncbi_scaffold_l50	ncbi_ssu_count	ncbi_scaffold_count	ncbi_assembly_level	ncbi_refseq_category	ncbi_species_taxid	ncbi_isolate	ncbi_wgs_master	ncbi_bioproject	ncbi_seq_rel_date	ncbi_isolation_source	ncbi_country	ncbi_lat_lon	ncbi_strain_identifiers	ssu_gg_taxonomy	ssu_gg_blast_bitscore	ssu_gg_blast_subject_id	ssu_gg_blast_perc_identity	ssu_gg_blast_evalue	ssu_gg_blast_align_len	ssu_gg_query_id	ssu_gg_length	ssu_silva_blast_bitscore	ssu_silva_taxonomy	ssu_silva_blast_subject_id	ssu_silva_blast_align_len	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	lsu_5s_query_id	lsu_5s_length	lsu_5s_contig_len	gtdb_taxonomy	mimag_high_quality	gtdb_cluster_size	gtdb_clustered_genomes	gtdb_type_material
RS_GCF_000621965.1	26	493524	328521	24.2081000729	3141	2041814	116447	137557	5	36	0	202647	7	78531	56629	20	0	34	100	0	1704	1552510	76.0358191295	4	188	p__Euryarchaeota (UID3)	125	0	2	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter wolinii	RS_GCF_000621965.1	t	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter wolinii;st__Methanobrevibacter wolinii SH	t	SAMN02744021	3141	0	2014-4-8	DOE Joint Genome Institute	0	137557	ASM62196v1	87921	1694	n/a	6	GCA_000621965.1	2041814	0	1410664	34	full	10	11	57708	36	Methanobrevibacter wolinii SH	116447	2038673	5	4	26	Scaffold	representative genome	190977	none	JHWX00000000.1	PRJNA224116	2014/04/08	none	none	none	SH	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	2549	160868	98.484	0	1451	NZ_JHWX01000031.1	1479	2710	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter wolinii SH	JHWX01000031.43.1510	1467	0	100	NZ_JHWX01000026.1	111	12897	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_B;s__Methanobrevibacter_B wolinii	t	1	RS_GCF_000621965.1	t
RS_GCF_000204925.1	1	772846	1840348	41.9945575511	0	1840348	1840348	1840348	1	1	0	1840348	1	1840348	1840348	19	0	45	100	0.6	1992	1637856	88.9970809869	1	217	c__Thermoprotei (UID147)	168	0	0	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera cuprina	RS_GCF_000204925.1	t	d__Archaea;x__TACK group;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera cuprina;st__Metallosphaera cuprina Ar-4	t	SAMN02603221	0	1	2011-4-19	Environmental Microbiology Research Center (EMRC)	0	none	ASM20492v1	none	1918	n/a	3	GCA_000204925.1	1840348	0	1006006	45	full	0	11	none	none	Metallosphaera cuprina Ar-4	none	1840348	none	1	none	Complete Genome	representative genome	1006005	none	none	PRJNA224116	2011/04/19	sulfuric hot spring	China: Yunnan province	none	Ar-4	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__sedula	2758	4343248	100	0	1493	NC_015435.1	1494	2641	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera cuprina Ar-4	CP002656.417677.419106	1430	0	100	none	none	none	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera cuprina	f	1	RS_GCF_000204925.1	t
RS_GCF_000245175.1	1	912394	2601131	35.076818507	0	2601131	2601131	2601131	1	1	0	2601131	1	2601131	2601131	19	0	45	99.4	0	2937	2291847	88.1096338477	1	217	c__Thermoprotei (UID147)	168	0	0	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus islandicus	RS_GCF_000022385.1	f	d__Archaea;x__TACK group;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus islandicus;st__Sulfolobus islandicus M.16.23	f	SAMN02471819	0	1	2012-1-25	University of Illinois	0	none	ASM24517v2	none	2813	n/a	3	GCA_000245175.2	2601131	0	1132501	45	full	0	11	none	1	Sulfolobus islandicus M.16.23	2601131	2601131	none	1	none	Chromosome	na	43080	none	AHJO00000000.1	PRJNA224116	2012/01/25	Hot spring in Mutnovsky Volcano	Russia: Kamchatka	none	M.16.23	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__islandicus	2752	649969	99.933	0	1493	NZ_AHJO01000001.1	1493	2758	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus islandicus LAL14/1	CP003928.1036538.1038033	1493	0	100	none	none	none	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus_A;s__Sulfolobus_A islandicus	f	none	none	f
RS_GCF_000979125.1	164	1694671	151275	41.6141825093	307	4072647	43975	44189	27	179	0	151275	28	24833	22750	20	0	57	100	0.65	3520	3078727	75.5952332721	1	228	p__Euryarchaeota (UID49)	153	0	1	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	RS_GCF_000970205.1	f	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	f	SAMN02708967	306	0	2015-4-23	University of Illinois at Urbana-Champaign	0	none	gtlEnvA5udCFS	none	3457	n/a	3	GCA_000979125.1	4072647	0	2209	56	full	15	11	none	179	Methanosarcina mazei	43975	4072341	none	1	none	Scaffold	na	2209	none	JJQE00000000.1	PRJNA224116	2015/04/23	sediment	USA: Columbia River Estuary; north of Astoria; OR	46.17467 N 123.8493 W	1.F.M.0.5	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__mazei	2699	439	99.728	0	1473	NZ_JJQE01000135.1	1474	2710	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei Go1	AE008384.235306.236779	1473	0	99.864	NZ_JJQE01000135.1	116	110010	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	t	none	none	f
RS_GCF_000968355.1	1	977991	2727261	35.8598241972	0	2727261	2727261	2727261	1	1	0	2727261	1	2727261	2727261	19	0	45	100	0	3025	2353186	86.2838576873	1	217	c__Thermoprotei (UID147)	168	0	0	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus solfataricus	RS_GCF_000968395.1	f	d__Archaea;x__TACK group;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus solfataricus	f	SAMN03452281	0	1	2015-4-2	University of Nebraska-Lincoln	0	none	ASM96835v1	none	2920	n/a	3	GCA_000968355.1	2727261	0	2287	46	full	0	11	none	none	Sulfolobus solfataricus	none	2727261	none	1	none	Complete Genome	na	2287	98/2	none	PRJNA224116	2015/04/02	none	none	none	SULB	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__islandicus	2758	649969	100	0	1493	NZ_CP011055.1	1493	2756	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus solfataricus P2	AE006641.871672.873167	1492	0	100	none	none	none	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus_A;s__Sulfolobus_A solfataricus	f	none	none	f
RS_GCF_000824705.1	87	541423	101551	31.5076839635	0	1718384	38870	38870	16	87	0	101551	16	19751	19751	20	0	35	100	1.6	1694	1562650	90.9371828416	1	188	p__Euryarchaeota (UID3)	125	100	0	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii	RS_GCF_000151225.1	f	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii	f	SAMEA2796325	0	0	2014-10-2	URMITE	0	none	Methanobrevibacter smithii	none	1663	n/a	3	GCA_000824705.1	1718384	0	2173	35	full	0	11	none	87	Methanobrevibacter smithii	38870	1718384	none	1	none	Contig	na	2173	none	CCXV00000000.1	PRJNA224116	2014/10/02	none	none	none	ACE6	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	2717	470690	99.932	0	1474	NZ_CCXV01000018.1	1475	2721	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter smithii ATCC 35061	CP000678.333483.334957	1473	0	100	none	none	none	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	f	none	none	f
RS_GCF_000022365.1	1	1095567	2045438	53.5614865862	0	2045438	2045438	2045438	1	1	0	2045438	1	2045438	2045438	20	0	46	100	0	2175	1893948	92.593762314	1	299	p__Euryarchaeota (UID4)	202	0	2	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus gammatolerans	RS_GCF_000022365.1	t	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus gammatolerans;st__Thermococcus gammatolerans EJ3	t	SAMN02603333	0	1	2009-6-12	IGM/ Universit Paris-Sud, France	0	none	ASM2236v1	none	2148	n/a	4	GCA_000022365.1	2045438	0	593117	46	full	0	11	none	none	Thermococcus gammatolerans EJ3	none	2045438	none	1	none	Complete Genome	na	187878	none	none	PRJNA224116	2009/06/12	none	none	none	EJ3=DSM 15229	k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__kodakarensis	2680	1130698	99.193	0	1487	NC_012804.1	1488	2745	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus gammatolerans EJ3	CP001398.1948833.1950371	1486	0	100	NC_012804.1-#2	105	2045438	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus gammatolerans	t	1	RS_GCF_000022365.1	t
RS_GCF_000016525.1	1	575114	1853160	31.0342334175	0	1853160	1853160	1853160	1	1	0	1853160	1	1853160	1853160	20	0	36	100	0	1782	1670202	90.1272421162	2	188	p__Euryarchaeota (UID3)	125	0	0	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii	RS_GCF_000016525.1	t	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii;st__Methanobrevibacter smithii ATCC 35061	t	SAMN02604313	0	1	2007-6-4	Washington University Center for Genome Sciences	0	none	ASM1652v1	none	1749	n/a	7	GCA_000016525.1	1853160	0	420247	35	full	0	11	none	none	Methanobrevibacter smithii ATCC 35061	none	1853160	none	2	none	Complete Genome	representative genome	2173	none	none	PRJNA224116	2007/06/04	none	none	none	ATCC 35061=PS=DSMZ 861	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	2712	470690	99.864	0	1475	NC_009515.1-#2	1476	2723	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter smithii ATCC 35061	CP000678.520016.521491	1474	0	100	none	none	none	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	f	5	U_34108;U_94494;RS_GCF_001729455.1;U_66380;RS_GCF_000016525.1	t
RS_GCF_000017225.1	1	590031	1772694	33.284424723	0	1772694	1772694	1772694	1	1	0	1772694	1	1772694	1772694	19	0	36	99.5	0	1833	1560280	88.0174468916	3	308	p__Euryarchaeota (UID5)	210	0	4	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis	RS_GCF_000017225.1	t	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis;st__Methanococcus maripaludis C7	f	SAMN00000031	0	1	2007-6-29	US DOE Joint Genome Institute (JGI-PGF)	0	none	ASM1722v1	none	1808	n/a	10	GCA_000017225.1	1772694	0	426368	37	full	0	11	none	none	Methanococcus maripaludis C7	none	1772694	none	3	none	Complete Genome	representative genome	39152	none	none	PRJNA224116	2007/06/29	none	none	none	C7	k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__	2706	222407	100	0	1465	NC_009637.1-#2	1466	2702	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus maripaludis C7	CP000745.958998.960462	1463	0	100	NC_009637.1-#4	107	1772694	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis_A	t	1	RS_GCF_000017225.1	f
RS_GCF_000337295.1	16	2347087	988750	60.2660904754	0	3894540	323675	323675	4	16	0	988750	4	243408	243408	20	0	56	99.25	0	3949	3342627	85.8285445778	1	417	f__Halobacteriaceae (UID96)	263	0	2	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloferax;s__Haloferax mediterranei	RS_GCF_000337295.1	t	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloferax;s__Haloferax mediterranei;st__Haloferax mediterranei ATCC 33500	t	SAMN02471643	0	0	2013-2-4	University of California, Davis	0	none	ASM33729v1	none	3825	n/a	4	GCA_000337295.1	3894540	0	523841	54	full	0	11	none	16	Haloferax mediterranei ATCC 33500	323675	3894540	none	1	none	Contig	na	2252	none	AOLO00000000.1	PRJNA224116	2013/02/04	none	none	none	ATCC 33500	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haloferax;s__	2695	2415730	99.728	0	1471	NZ_AOLO01000008.1	1472	2717	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloferax;Haloferax mediterranei	AB663379.1.1473	1471	0	100	NZ_AOLO01000009.1	113	262933	d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax mediterranei	t	2	RS_GCF_000685635.1;RS_GCF_000337295.1	t
RS_GCF_000980075.1	142	1655685	166334	41.6251006886	1192	3978804	37230	47314	24	196	0	166334	33	28019	20293	20	0	56	100	0.65	3427	3012210	75.7064183106	1	228	p__Euryarchaeota (UID49)	153	0	1	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	RS_GCF_000970205.1	f	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	f	SAMN02708940	1185	0	2015-4-23	University of Illinois at Urbana-Champaign	0	none	gtlEnvA5udCFS	none	3374	n/a	3	GCA_000980075.1	3978804	0	2209	55	full	54	11	none	196	Methanosarcina mazei	37230	3977619	none	1	none	Scaffold	na	2209	none	JJQW00000000.1	PRJNA224116	2015/04/23	sediment	USA: Columbia River Estuary; north of Astoria; OR	46.17467 N 123.8493 W	1.H.M.2.3	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__mazei	2710	439	99.864	0	1473	NZ_JJQW01000011.1	1474	2721	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei Go1	AE008384.235306.236779	1473	0	100	NZ_JJQW01000011.1	116	125110	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	t	none	none	f
RS_GCF_000235565.1	2	1557953	2559043	60.5963592858	0	2571034	2559043	2559043	1	2	0	2559043	1	1285517	1285517	20	0	45	100	0	2481	2238818	87.0785061574	1	227	p__Euryarchaeota (UID49)	152	0	1	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanothrix;s__Methanosaeta harundinacea	RS_GCF_000235565.1	t	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanothrix;s__Methanosaeta harundinacea;st__Methanosaeta harundinacea 6Ac	f	SAMN02603883	0	2	2011-11-16	State Key Laboratory of Microbial Resources, Institute of Microbiology, Chinese Academy of Sciences	0	none	ASM23556v1	none	2447	n/a	3	GCA_000235565.1	2571034	0	1110509	45	full	0	11	none	none	Methanosaeta harundinacea 6Ac	none	2571034	none	1	none	Complete Genome	representative genome	301375	none	none	PRJNA224116	2011/11/16	none	none	none	6Ac	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanosaeta;s__	2721	3637297	100	0	1473	NC_017527.1	1474	2721	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;Methanosaeta harundinacea 6Ac	CP003117.797321.798795	1473	0	100	NC_017527.1	116	2559043	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix_A;s__Methanothrix_A harundinacea_C	t	9	U_62695;U_72481;GB_GCA_002503805.1;U_74981;U_2476;U_68162;GB_GCA_002497945.1;RS_GCF_000235565.1;GB_GCA_001603195.1	f
RS_GCF_000979845.1	144	1676028	179941	41.5505225833	445	4034156	45304	49810	22	168	0	179941	26	28014	24010	20	0	57	100	0.65	3480	3060431	75.8629810052	1	228	p__Euryarchaeota (UID49)	153	0	1	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	RS_GCF_000970205.1	f	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	f	SAMN02708933	445	0	2015-4-23	University of Illinois at Urbana-Champaign	0	none	gtlEnvA5udCFS	none	3424	n/a	3	GCA_000979845.1	4034156	0	2209	56	full	24	11	none	168	Methanosarcina mazei	45304	4033711	none	1	none	Scaffold	na	2209	none	JJQB00000000.1	PRJNA224116	2015/04/23	sediment	USA: Columbia River Estuary; north of Astoria; OR	46.1597 N 123.8065 W	1.F.A.1B.3	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__mazei	2713	439	99.864	0	1475	NZ_JJQB01000120.1	1804	2723	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei Go1	AE008384.235306.236779	1474	0	100	NZ_JJQB01000120.1	116	160037	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	t	none	none	f
RS_GCF_000966265.1	23	1198229	377594	54.3062076267	0	2206431	210129	210129	4	23	0	377594	4	95931	95931	20	0	47	100	0	2350	2020768	91.5853702201	1	299	p__Euryarchaeota (UID4)	202	0	3	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Palaeococcus;s__Palaeococcus ferrophilus	RS_GCF_000966265.1	t	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Palaeococcus;s__Palaeococcus ferrophilus;st__Palaeococcus ferrophilus DSM 13482	t	SAMN02744072	0	0	2015-3-30	DOE Joint Genome Institute	0	none	ASM96626v1	none	2314	n/a	5	GCA_000966265.1	2206431	0	588319	48	full	0	11	none	23	Palaeococcus ferrophilus DSM 13482	210129	2206431	none	1	none	Contig	representative genome	83868	none	LANF00000000.1	PRJNA224116	2015/03/30	none	Japan: deep-sea hydrothermal vent chimney at the Myojin Knoll in the Ogasawara-Bonin Arc	none	DSM 13482	k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Palaeococcus;s__	2569	807	99.645	0	1408	NZ_LANF01000002.1	1472	2569	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Palaeococcus;Palaeococcus ferrophilus	AB019239.1.1409	1408	0	99.645	NZ_LANF01000006.1	101	210129	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Palaeococcus;s__Palaeococcus ferrophilus	t	1	RS_GCF_000966265.1	t
RS_GCF_000211475.1	1	795533	1861320	42.7402596007	0	1861320	1861320	1861320	1	1	0	1861320	1	1861320	1861320	20	0	46	100	0.5	2005	1710625	91.9038639245	1	299	p__Euryarchaeota (UID4)	202	0	2	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Pyrococcus;s__	RS_GCF_000211475.1	t	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Pyrococcus;s__Pyrococcus sp. NA2	f	SAMN02603477	0	1	2011-4-29	Korea Ocean Research and Development Institute	0	none	ASM21147v1	none	1984	n/a	4	GCA_000211475.1	1861320	0	342949	46	full	0	11	none	none	Pyrococcus sp. NA2	none	1861320	none	1	none	Complete Genome	na	342949	none	none	PRJNA224116	2011/04/29	hydrothermal vent area; 1650 m depth	Pacific Ocean: Papua New Guinea-Australia-Canada-Manus (PACMANUS) field	none	NA2	k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Pyrococcus;s__abyssi	2739	4375425	99.733	0	1496	NC_015474.1	1497	2763	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus sp. NA2	CP002670.653681.655178	1496	0	100	NC_015474.1-#2	103	1861320	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Pyrococcus;s__	t	1	RS_GCF_000211475.1	f
RS_GCF_000226975.2	3	2859749	4161587	65.2680802174	0	4381543	4161587	4161587	1	3	0	4161587	1	1460514	1460514	20	0	49	99.43	0	4253	3749736	85.5802624783	3	417	f__Halobacteriaceae (UID96)	263	0	4	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Halobiforma;s__Halobiforma lacisalsi	RS_GCF_000226975.2	t	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Halobiforma;s__Halobiforma lacisalsi;st__Halobiforma lacisalsi AJ5	t	SAMN02470038	0	3	2017-1-23	College of Life Sciences, Zhejiang University	0	none	ASM22697v3	none	4177	n/a	10	GCA_000226975.3	4381543	0	358396	48	full	0	11	none	156	Halobiforma lacisalsi AJ5	52527	4381543	none	3	none	Complete Genome	representative genome	229731	none	AGFZ00000000.1	PRJNA224116	2017/01/23	Ayakekumsalt Lake	China: Xinjian	none	AJ5	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobiforma;s__lacisalsi	2689	714724	99.728	0	1468	NZ_CP019285.1	1469	2702	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobiforma;Halobiforma lacisalsi	AB663435.1.1471	1469	0	99.864	NZ_CP019285.1-#2	112	4161587	d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobiforma;s__Halobiforma lacisalsi	t	1	RS_GCF_000226975.2	t
RS_GCF_000632495.1	68	874569	387814	35.6381745403	0	2454023	136672	136672	6	68	0	387814	6	36088	36088	19	0	51	99.4	0.6	2555	2040790	83.1609972686	1	217	c__Thermoprotei (UID147)	168	0	0	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Candidatus Acidianus copahuensis	RS_GCF_000632495.1	t	d__Archaea;x__TACK group;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Candidatus Acidianus copahuensis	f	SAMN02679956	0	0	2014-4-15	INDEAR	0	none	AciCop1.0	none	2461	n/a	3	GCA_000632495.1	2454023	0	1160895	52	full	0	11	none	68	Candidatus Acidianus copahuensis	136672	2454023	none	1	none	Contig	na	1160895	none	JFZT00000000.1	PRJNA224116	2014/04/15	hot springs	Argentina: Copahue; Neuquen	37.816611 S 71.096811 W	ALE1	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__	2702	3596176	99.932	0	1466	NZ_JFZT01000039.1	1492	2756	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;Candidatus Acidianus copahuensis	JFZT01000039.50396.51893	1492	0	100	none	none	none	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus copahuensis	f	1	RS_GCF_000632495.1	f
